n,threads,time_us
64,1,35.209
64,2,185.583
64,3,208.667
64,4,240.125
64,5,306.416
64,6,406.958
64,7,445.291
64,8,556.292
64,10,659.666
64,12,734.25
64,16,969.25
64,24,1372.96
64,32,1830.17
128,1,30.917
128,2,138.75
128,3,189.125
128,4,222.959
128,5,320
128,6,378.333
128,7,436.083
128,8,529.458
128,10,724.833
128,12,713.541
128,16,1027.62
128,24,1668.04
128,32,2157.96
256,1,49.084
256,2,227.125
256,3,266.042
256,4,302.292
256,5,372.375
256,6,531.958
256,7,594.416
256,8,658.708
256,10,840.333
256,12,910.375
256,16,1168.54
256,24,1876.46
256,32,2433.38
512,1,92.625
512,2,256.458
512,3,305.917
512,4,356.5
512,5,465.75
512,6,586.542
512,7,668.875
512,8,746.833
512,10,959.292
512,12,1029.83
512,16,1308.5
512,24,2118.96
512,32,2711.12
1024,1,192.5
1024,2,362.833
1024,3,418.75
1024,4,432.167
1024,5,539.625
1024,6,710.167
1024,7,790.584
1024,8,850.583
1024,10,1091.62
1024,12,1177.42
1024,16,1466.92
1024,24,2349.71
1024,32,2980.12
2048,1,400.292
2048,2,549.75
2048,3,575.792
2048,4,585.125
2048,5,706.375
2048,6,878.583
2048,7,924.459
2048,8,985.5
2048,10,1186.42
2048,12,1373.62
2048,16,1662.08
2048,24,2531.79
2048,32,3210.58
4096,1,862.583
4096,2,896.792
4096,3,873.125
4096,4,850.708
4096,5,1015.62
4096,6,1176.25
4096,7,1193.5
4096,8,1274.79
4096,10,1467.04
4096,12,1607.21
4096,16,1982.67
4096,24,2757
4096,32,3471.62
8192,1,2038
8192,2,1274.92
8192,3,1418.54
8192,4,1265.5
8192,5,1599.83
8192,6,1725.75
8192,7,1703.04
8192,8,1787.29
8192,10,1988.29
8192,12,2087.33
8192,16,2473.42
8192,24,3159.21
8192,32,3342.67
16384,1,4037.75
16384,2,2967.08
16384,3,2558.29
16384,4,2213.21
16384,5,2725.79
16384,6,2798.92
16384,7,2742.83
16384,8,2637.08
16384,10,2984.29
16384,12,3056.58
16384,16,3291.29
16384,24,3853.04
16384,32,4674.58
32768,1,8696.46
32768,2,5666.25
32768,3,4795
32768,4,4093.62
32768,5,5139.04
32768,6,4773.54
32768,7,4518.58
32768,8,4453.17
32768,10,4812.62
32768,12,4852.17
32768,16,5044.12
32768,24,5644.21
32768,32,6342.04
65536,1,18944
65536,2,11442.1
65536,3,9347.25
65536,4,7677.33
65536,5,9240.21
65536,6,9189.17
65536,7,8597.58
65536,8,8074.25
65536,10,8587.17
65536,12,8439.92
65536,16,8330.54
65536,24,8864.67
65536,32,9506.75
131072,1,40832
131072,2,23551.8
131072,3,18817
131072,4,15264.9
131072,5,18180.8
131072,6,16924.2
131072,7,15591
131072,8,15006.2
131072,10,16008.3
131072,12,15311.5
131072,16,14841.6
131072,24,15695.9
131072,32,16337.7
262144,1,87064.1
262144,2,49228.4
262144,3,39076.3
262144,4,31211.7
262144,5,37096.8
262144,6,34157
262144,7,31154.5
262144,8,30016.2
262144,10,31190.8
262144,12,28829.2
262144,16,28783
262144,24,29672
262144,32,30487.6
524288,1,185164
524288,2,103338
524288,3,80908.8
524288,4,64477.5
524288,5,75969.9
524288,6,69400.8
524288,7,63600.3
524288,8,60017
524288,10,61842.2
524288,12,57339.3
524288,16,57015.4
524288,24,58850.5
524288,32,67964.6
1048576,1,395587
1048576,2,219326
1048576,3,170048
1048576,4,140381
1048576,5,157529
1048576,6,143433
1048576,7,131089
1048576,8,122046
1048576,10,127720
1048576,12,123876
1048576,16,119546
1048576,24,120629
1048576,32,122748
